               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10538,             0.15514,                   0,           0.0038491,             0.37136,           0.0067519,           0.0012468,            0.086643,             0.11433,                   0,           0.0033121,           0.0033121,            0.070191
                   1,            0.089375,            0.078103,                   0,            0.098011,             0.13514,            0.050935,           0.0097733,            0.073059,            0.059469,                   0,           0.0062068,           0.0062068,            0.039752
                   2,            0.080236,            0.053582,                   0,             0.20947,             0.22649,             0.13413,            0.030592,            0.067306,             0.04988,                   0,           0.0086616,           0.0086616,           0.0088739
                   3,            0.074275,            0.046699,                   0,             0.19861,             0.26352,             0.15462,             0.03342,             0.06462,            0.049214,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.067434,             0.04398,                   0,             0.44345,             0.39622,             0.37161,            0.098673,             0.05498,            0.040589,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.062887,            0.043351,                   0,             0.52329,              0.4964,             0.47026,             0.13315,            0.050729,            0.040256,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.058038,              0.0414,                   0,             0.55458,             0.54969,             0.55653,             0.17763,            0.048068,            0.037637,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.055393,            0.040099,                   0,             0.60845,             0.57794,             0.60682,             0.21779,            0.044472,            0.038035,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.053449,            0.038684,                   0,             0.64297,             0.60565,             0.63233,             0.23723,            0.042617,            0.037069,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.052722,            0.037464,                   0,             0.64162,             0.62483,             0.65403,             0.25098,             0.04238,            0.035825,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.051637,            0.037625,                   0,             0.65176,             0.62883,              0.6641,             0.25656,            0.041707,            0.035749,                   0,             0.00406,             0.00406,             0.00406
                  11,            0.050359,            0.037835,                   0,             0.63541,              0.6632,             0.68214,             0.26226,            0.041294,            0.034678,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.049428,            0.035939,                   0,             0.67464,              0.6672,             0.70373,             0.28115,            0.040427,            0.034397,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.049104,            0.035904,                   0,             0.67746,             0.67972,             0.72167,             0.29268,            0.039985,              0.0345,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.048386,            0.035848,                   0,             0.70051,             0.67995,             0.73112,             0.30536,            0.039293,            0.033924,                   0,             0.00142,             0.00142,             0.00142
